label,precision,recall,f1-score,support
0,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,148.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,15.0
5,0.9906542056074766,0.9953051643192489,0.9929742388758782,213.0
6,1.0,1.0,1.0,100.0
7,1.0,1.0,1.0,191.0
8,1.0,1.0,1.0,95.0
9,1.0,1.0,1.0,177.0
10,1.0,1.0,1.0,168.0
11,1.0,0.9857142857142858,0.9928057553956835,140.0
12,1.0,1.0,1.0,321.0
13,1.0,1.0,1.0,37.0
14,0.99375,1.0,0.9968652037617556,159.0
accuracy,0.998546511627907,0.998546511627907,0.998546511627907,0.998546511627907
macro avg,0.9989602803738318,0.9987346300022356,0.998843013202221,2064.0
weighted avg,0.9985540677298413,0.998546511627907,0.998545487419611,2064.0
