label,precision,recall,f1-score,support
0,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,148.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,15.0
5,0.9953271028037384,1.0,0.9976580796252927,213.0
6,1.0,0.99,0.9949748743718593,100.0
7,1.0,1.0,1.0,191.0
8,1.0,1.0,1.0,95.0
9,1.0,1.0,1.0,177.0
10,0.9940476190476191,0.9940476190476191,0.9940476190476191,168.0
11,0.9857142857142858,0.9857142857142858,0.9857142857142858,140.0
12,1.0,1.0,1.0,321.0
13,1.0,1.0,1.0,37.0
14,1.0,1.0,1.0,159.0
accuracy,0.998062015503876,0.998062015503876,0.998062015503876,0.998062015503876
macro avg,0.9983392671710428,0.997984126984127,0.9981596572506037,2064.0
weighted avg,0.9980642795044556,0.998062015503876,0.9980613655026033,2064.0
