label,precision,recall,f1-score,support
0,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,148.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,15.0
5,0.9953271028037384,1.0,0.9976580796252927,213.0
6,0.9900990099009901,1.0,0.9950248756218906,100.0
7,1.0,0.9947643979057592,0.9973753280839895,191.0
8,1.0,1.0,1.0,95.0
9,1.0,1.0,1.0,177.0
10,1.0,1.0,1.0,168.0
11,1.0,0.9928571428571429,0.996415770609319,140.0
12,1.0,1.0,1.0,321.0
13,1.0,1.0,1.0,37.0
14,1.0,1.0,1.0,159.0
accuracy,0.999031007751938,0.999031007751938,0.999031007751938,0.999031007751938
macro avg,0.9990284075136486,0.9991747693841935,0.9990982702626995,2064.0
weighted avg,0.9990380687438446,0.999031007751938,0.9990312761975402,2064.0
