label,precision,recall,f1-score,support
0,0.0,0.0,0.0,100.0
1,0.17073170731707318,0.0472972972972973,0.07407407407407408,148.0
2,0.0,0.0,0.0,100.0
3,0.0,0.0,0.0,100.0
4,0.0,0.0,0.0,15.0
5,0.7586206896551724,0.10328638497652583,0.1818181818181818,213.0
6,0.0,0.0,0.0,100.0
7,0.06153846153846154,0.020942408376963352,0.03125000000000001,191.0
8,0.0,0.0,0.0,95.0
9,0.12643678160919541,0.062146892655367235,0.08333333333333333,177.0
10,0.0,0.0,0.0,168.0
11,0.07692307692307693,0.007142857142857143,0.0130718954248366,140.0
12,0.17851147174034696,0.9937694704049844,0.30265654648956364,321.0
13,0.0,0.0,0.0,37.0
14,0.14814814814814814,0.025157232704402517,0.043010752688172046,159.0
accuracy,0.17829457364341086,0.17829457364341086,0.17829457364341086,0.17829457364341086
macro avg,0.1013940224620983,0.08398283623722652,0.04861431892187743,2064.0
weighted avg,0.15146057404631297,0.17829457364341086,0.08538300007281108,2064.0
