,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14
true_0,0,5,0,0,0,0,0,7,0,8,3,1,74,0,2
true_1,0,7,0,0,0,0,0,9,0,14,3,0,112,0,3
true_2,0,7,0,0,0,0,0,7,0,13,1,0,71,0,1
true_3,0,0,0,0,0,1,0,1,0,1,0,1,96,0,0
true_4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
true_5,0,0,0,0,0,22,0,0,0,0,0,0,191,0,0
true_6,0,5,0,0,0,0,0,8,0,8,0,0,74,0,5
true_7,0,6,0,0,0,1,0,4,0,13,0,4,161,0,2
true_8,0,0,0,0,0,0,0,1,0,0,0,0,94,0,0
true_9,0,4,0,0,0,0,0,9,0,11,4,3,137,0,9
true_10,0,0,0,0,0,0,0,1,0,2,0,0,165,0,0
true_11,0,1,0,0,0,1,0,4,0,4,0,1,128,0,1
true_12,0,0,0,0,0,2,0,0,0,0,0,0,319,0,0
true_13,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0
true_14,0,6,0,0,0,2,0,13,0,13,4,3,114,0,4
