label,precision,recall,f1-score,support
0,0.99,0.99,0.99,100.0
1,1.0,1.0,1.0,148.0
2,0.9900990099009901,1.0,0.9950248756218906,100.0
3,0.98,0.98,0.98,100.0
4,0.9375,1.0,0.967741935483871,15.0
5,0.9952830188679245,0.9906103286384976,0.9929411764705881,213.0
6,0.941747572815534,0.97,0.9556650246305418,100.0
7,0.9893617021276596,0.9738219895287958,0.9815303430079155,191.0
8,1.0,1.0,1.0,95.0
9,1.0,0.9830508474576272,0.9914529914529915,177.0
10,0.9940119760479041,0.9880952380952381,0.991044776119403,168.0
11,0.9784172661870504,0.9714285714285714,0.974910394265233,140.0
12,0.9968944099378882,1.0,0.9984447900466563,321.0
13,0.9736842105263158,1.0,0.9866666666666666,37.0
14,0.9875776397515528,1.0,0.99375,159.0
accuracy,0.9893410852713178,0.9893410852713178,0.9893410852713178,0.9893410852713178
macro avg,0.983638453744188,0.9898004650099154,0.9866115315843839,2064.0
weighted avg,0.9894560182844822,0.9893410852713178,0.9893593684613681,2064.0
